Category,Check ID,Severity,Supply Equipment,Circuit,Load Device,Issue,Observed,Limit/Target,Recommended Action
General,QC.Circuit.ZeroLoad,Medium,"<link:Panel MDP 12345>","<link:MDP/12 67890>","-","Circuit connected to panel has zero load","0 A apparent current","Load > 0 A or intentional spare/space","Verify connected loads. If intentional, mark as Spare/Space or remove unused circuit."
General,QC.Circuit.NonStandardBreaker,Medium,"<link:Panel MDP 12345>","<link:MDP/14 67891>","-","Breaker rating is non-standard","27 A","Standard OCP rating","Revise breaker to nearest valid standard size or confirm special condition."
General,QC.Circuit.RatingBelowCurrent,High,"<link:Panel MDP 12345>","<link:MDP/16 67892>","-","Circuit rating is below apparent current","20 A breaker / 24.6 A apparent current","Breaker >= apparent current","Upsize breaker or reduce connected load."
Devices,QC.Device.LoadNotConnected,High,-,"-","<link:Receptacle 45601>","Non-zero load is not connected to an electrical system","180 VA","Device should be assigned to a circuit","Create/assign circuit for this device."
Devices,QC.Device.LoadNoPanel,High,"-","<link:<unnamed> 45602>","<link:Mechanical Equipment 45603>","Non-zero load circuit is not assigned to a panel","1200 VA / no panel","Circuit should have supply panel","Assign the circuit to the correct panel."
Transformers,QC.Transformer.RatingMissing,Low,"-","-","<link:T-X1 30001>","Transformer rating parameter is missing","Transformer Rating_CED blank","Transformer Rating_CED populated","Add Transformer Rating_CED to family/type or verify this is not a standard transformer family."
Transformers,QC.Transformer.DemandExceedsRating,High,"-","-","<link:T-X1 30001>","Transformer demand exceeds transformer kVA rating","90 kVA demand / 75 kVA rating","Demand kVA <= transformer kVA","Upsize transformer or reduce downstream demand."
Transformers,QC.Transformer.PrimaryDemandNearBreaker,Medium,"<link:Panel MDP 12345>","<link:MDP/2 67893>",<link:T-X1 30001>,Transformer primary demand current is near upstream breaker rating,"102 A demand / 110 A breaker = 92.7%","< 90%","Review upstream breaker/loading. Upsize or confirm acceptable loading."
Transformers,QC.Transformer.PrimaryRatingNearBreaker,Medium,<link:Panel MDP 12345>,"<link:MDP/2 67893>","<link:T-X1 30001>",Transformer rated primary current is near upstream breaker rating,"108 A rated / 110 A breaker = 98.2%","< 90%","Review transformer primary OCP sizing."
Transformers,QC.Transformer.SecondaryLengthOver25Ft,Medium,"<link:T-X1 30001>","<link:T-X1 SEC 67894>","-",Transformer secondary circuit length exceeds 25 ft,"32 ft","<= 25 ft","Verify remote secondary overcurrent device is within 25 ft."
Panels/Switchgear,QC.Equipment.McbExceedsMains,High,"<link:Panel MDP 12345>","-","-","Main breaker rating exceeds equipment mains rating","225 A MCB / 200 A mains","MCB <= mains","Correct equipment mains or MCB rating."
Panels/Switchgear,QC.Equipment.SupplyBreakerExceedsMains,Low,"<link:Panel MDP 12345>","<link:MDP/8 67895>","<link:Panel LP1 30002>","Upstream breaker exceeds downstream equipment mains rating","225 A breaker / 100 A mains","Supply breaker <= equipment mains","Review feeder OCP and downstream equipment rating."
Panels/Switchgear,QC.Equipment.SupplyBreakerExceedsMcb,Low,"<link:Panel MDP 12345>","<link:MDP/10 67896>","<link:Panel LP2 30003>","Upstream breaker exceeds downstream MCB rating","125 A breaker / 100 A MCB","Supply breaker <= downstream MCB","Review feeder OCP coordination or correct MCB rating."
Panels/Switchgear,QC.Equipment.McbExceedsSupplyBreaker,Medium,"<link:Panel MDP 12345>","<link:MDP/12 67897>","<link:Panel LP3 30004>","Downstream MCB exceeds upstream breaker rating","225 A MCB / 200 A feeder breaker","MCB <= upstream breaker unless intentionally coordinated","Review MCB and feeder breaker sizing."
Panels/Switchgear,QC.Panel.OpenSlots,Info,"<link:Panel LP1 30002>","-","-","Panel has open slots","6 open slots","No target; informational","Review whether open slots should be left open, filled with spaces, or reserved."
Panels/Switchgear,QC.Panel.SuppliesLargerEquipment,Medium,"<link:Panel LP1 30002>","<link:LP1/18 67898>","<link:Panel DP1 30005>","Panel appears to supply equipment with larger rating than source panel","100 A source panel / 225 A supplied panel","Supplied equipment rating <= source panel rating","Verify source panel rating, feeder, and downstream equipment data."
