"registry_key","alert_id","category","group","severity","persistent","included_in_qc_checks","included_in_alert_manager","description","notes"
"calculation_breaker_lug_quantity_limit","Calculations.BreakerLugQuantityLimit","Calculations","Calculation","MEDIUM","True","No","Yes","Calculated wire sets ({wire_sets} sets) exceeds recommended maximum for breaker size {breaker_size}A.","Alert manager only; not emitted by QC service."
"calculation_breaker_lug_size_limit","Calculations.BreakerLugSizeLimit","Calculations","Calculation","MEDIUM","True","No","Yes","Calculated Hot Size #{hot_size} exceeds recommended maximum for breaker size {breaker_size}A.","Alert manager only; not emitted by QC service."
"calculation_conduit_sizing_failed","Calculations.ConduitSizingFailed","Calculations","Calculation","CRITICAL","True","No","Yes","Unable to automatically calculate conduit size for fill {fill_ratio}% at max fill {max_fill}%.","Alert manager only; not emitted by QC service."
"calculation_wire_sizing_failed","Calculations.WireSizingFailed","Calculations","Calculation","CRITICAL","True","No","Yes","Unable to automatically calculate wire sizing: {reason}","Alert manager only; not emitted by QC service."
"design_breaker_lug_quantity_limit_override","Design.BreakerLugQuantityLimitOverride","Design","Design","MEDIUM","True","No","Yes","User-specified wire sets ({wire_sets} sets) exceeds recommended maximum for {breaker_size}A Breaker ({max_lug_qty} sets).","Alert manager only; not emitted by QC service."
"design_breaker_lug_size_limit_override","Design.BreakerLugSizeLimitOverride","Design","Design","MEDIUM","True","No","Yes","User-specified Hot size {hot_size} exceeds recommended maximum for {breaker_size}A Breaker ({max_lug_size}).","Alert manager only; not emitted by QC service."
"design_circuit_loads_null",Design.CircuitLoadsNull,"Design","Design","MEDIUM","True","Yes","Yes","Power Circuit Connected to a panel has a 0 A load.","Shared by alert manager and QC service."
"design_circuit_panels_null","Design.CircuitPanelsNull","Design","Design","HIGH","True","No","Yes","Circuit with a non-zero load is NOT connected to a panel.","Alert manager only; not emitted by QC service."
"design_excessive_conduit_fill","Design.ExcessiveConduitFill","Design","Design","MEDIUM","True","No","Yes","User-specified conduit size {conduit_size} exceeds max fill target ({conduit_fill_percentage}% > {max_fill_percentage}%).","Alert manager only; not emitted by QC service."
"design_excessive_volt_drop","Design.ExcessiveVoltDrop","Design","Design","MEDIUM","True","No","Yes","User-specified wire ({wire_sets} set(s) x {wire_size}) fails volt drop check ({vd_percent}%).","Alert manager only; not emitted by QC service."
"design_insufficient_ampacity","Design.InsufficientAmpacity","Design","Design","HIGH","True","No","Yes","User-specified wire ({wire_sets} set(s) x {wire_size}) fails ampacity check (Ampacity: {circuit_ampacity}A, Circuit Load: {circuit_load_current}A)","Alert manager only; not emitted by QC service."
"design_insufficient_ampacity_breaker","Design.InsufficientAmpacityBreaker","Design","Design","HIGH","True","No","Yes","User-specified wire ({wire_sets} set(s) x {wire_size}) fails breaker ampacity check (Ampacity: {circuit_ampacity}A, Breaker: {breaker_rating}A)","Alert manager only; not emitted by QC service."
"design_non_standard_ocp_rating","Design.NonStandardOCPRating","Design","Design","MEDIUM","True","Yes","Yes","Overcurrent Device has non-standard ampere rating ({breaker_size}A) per NEC Table 240.6(A).","Shared by alert manager and QC service."
"design_undersized_ocp","Design.UndersizedOCP","Design","Design","HIGH","True","Yes","Yes","Circuit load current ({circuit_load_current}A) exceeds User-specified breaker rating ({breaker_rating}A)","Shared by alert manager and QC service."
"design_near_ocp_rating","Design.NearOCPRating","Design","Design","HIGH","True","Yes","Yes","Circuit load current ({circuit_load_current}A) is within {load_ratio_percent}% of User-specified breaker rating ({breaker_rating}A)","Shared by alert manager and QC service."
"design_undersized_wire_egc","Design.UndersizedWireEGC","Design","Design","HIGH","True","No","Yes","User-specified ground size ({ground_size} {wire_material}) does not meet required size per NEC 250.122.","Alert manager only; not emitted by QC service."
"design_undersized_wire_service_ground","Design.UndersizedWireServiceGround","Design","Design","HIGH","True","No","Yes","User-specified ground size ({ground_size} {wire_material}) does not meet required size per NEC 250.102.","Alert manager only; not emitted by QC service."
"overrides_invalid_circuit_property","Overrides.InvalidCircuitProperty","Overrides","Overrides","NONE","False","No","Yes","User-specified {property} '{override_value}' invalid; Using default {property}: {default_value}","Alert manager only; not emitted by QC service."
"overrides_invalid_conduit","Overrides.InvalidConduit","Overrides","Overrides","NONE","False","No","Yes","User-specified conduit size '{override_value}' invalid; returning calculated value instead.","Alert manager only; not emitted by QC service."
"overrides_invalid_equipment_ground","Overrides.InvalidEquipmentGround","Overrides","Overrides","NONE","False","No","Yes","User-specified equipment ground size '{override_value}' invalid; sizing per NEC Table 250.122","Alert manager only; not emitted by QC service."
"overrides_invalid_hot_wire","Overrides.InvalidHotWire","Overrides","Overrides","NONE","False","No","Yes","User-specified wire size '{override_value}' invalid; returning calculated value instead.","Alert manager only; not emitted by QC service."
"overrides_invalid_isolated_ground","Overrides.InvalidIsolatedGround","Overrides","Overrides","NONE","False","No","Yes","User-specified isolated ground size '{override_value}' invalid; using equipment ground size instead.","Alert manager only; not emitted by QC service."
"overrides_invalid_service_ground","Overrides.InvalidServiceGround","Overrides","Overrides","NONE","False","No","Yes","User-specified service ground size '{override_value}' invalid; sizing per NEC Table 250.102(c)","Alert manager only; not emitted by QC service."
