Breaker Rating,Voltage,Poles,Configuration,Baseline Hot Wire Size,Maximum Tested Length,Maximum Hot Wire Size,Hot Upsize Steps Reached,Five Upsizes Reached,Adaptive Search Status,Status / Notes,Coarse Row Count,Refinement Row Count,Failure Row Count
15,120.0,1,120 V / 1 pole,#12,400,3,5,Yes,REACHED_FIVE_UPSIZES,,170,672,0
15,277.0,1,277 V / 1 pole,#12,925,3,5,Yes,REACHED_FIVE_UPSIZES,,380,672,0
15,208.0,2,208 V / 2 pole,#12,700,3,5,Yes,REACHED_FIVE_UPSIZES,,290,672,0
15,208.0,3,208 V / 3 pole,#12,800,3,5,Yes,REACHED_FIVE_UPSIZES,,330,672,0
15,480.0,2,480 V / 2 pole,#12,1575,3,5,Yes,REACHED_FIVE_UPSIZES,,640,672,0
15,480.0,3,480 V / 3 pole,#12,1825,3,5,Yes,REACHED_FIVE_UPSIZES,,740,672,0
20,120.0,1,120 V / 1 pole,#12,300,3,5,Yes,REACHED_FIVE_UPSIZES,,130,672,0
20,277.0,1,277 V / 1 pole,#12,700,3,5,Yes,REACHED_FIVE_UPSIZES,,290,672,0
20,208.0,2,208 V / 2 pole,#12,525,3,5,Yes,REACHED_FIVE_UPSIZES,,220,672,0
20,208.0,3,208 V / 3 pole,#12,600,3,5,Yes,REACHED_FIVE_UPSIZES,,250,672,0
20,480.0,2,480 V / 2 pole,#12,1200,3,5,Yes,REACHED_FIVE_UPSIZES,,490,672,0
20,480.0,3,480 V / 3 pole,#12,1375,3,5,Yes,REACHED_FIVE_UPSIZES,,560,672,0
25,120.0,1,120 V / 1 pole,#10,300,2,5,Yes,REACHED_FIVE_UPSIZES,,130,576,0
25,277.0,1,277 V / 1 pole,#10,675,2,5,Yes,REACHED_FIVE_UPSIZES,,280,552,0
25,208.0,2,208 V / 2 pole,#10,500,2,5,Yes,REACHED_FIVE_UPSIZES,,210,552,0
25,208.0,3,208 V / 3 pole,#10,575,2,5,Yes,REACHED_FIVE_UPSIZES,,240,552,0
25,480.0,2,480 V / 2 pole,#10,1150,2,5,Yes,REACHED_FIVE_UPSIZES,,470,552,0
25,480.0,3,480 V / 3 pole,#10,1350,2,5,Yes,REACHED_FIVE_UPSIZES,,550,552,0
30,120.0,1,120 V / 1 pole,#10,250,2,5,Yes,REACHED_FIVE_UPSIZES,,110,576,0
30,277.0,1,277 V / 1 pole,#10,575,2,5,Yes,REACHED_FIVE_UPSIZES,,240,576,0
30,208.0,2,208 V / 2 pole,#10,425,2,5,Yes,REACHED_FIVE_UPSIZES,,180,552,0
30,208.0,3,208 V / 3 pole,#10,500,2,5,Yes,REACHED_FIVE_UPSIZES,,210,576,0
30,480.0,2,480 V / 2 pole,#10,975,2,5,Yes,REACHED_FIVE_UPSIZES,,400,552,0
30,480.0,3,480 V / 3 pole,#10,1125,2,5,Yes,REACHED_FIVE_UPSIZES,,460,552,0
35,120.0,1,120 V / 1 pole,#8,275,1,5,Yes,REACHED_FIVE_UPSIZES,,120,552,0
35,277.0,1,277 V / 1 pole,#8,600,1,5,Yes,REACHED_FIVE_UPSIZES,,250,528,0
