Breaker Rating,Load,Length,Hot Wire Size,Ground Wire Size,Poles,Voltage,Load Percent,Baseline Hot Wire Size,Hot Upsize Steps,Test Point Type,Status / Notes,Configuration,Hot Wire Quantity,Ground Wire Quantity,Parallel Sets,Wire Material,Wire Temperature,Base Ampacity,Voltage Drop %
15,1.5,1,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.004574101282040191
15,1.5,25,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.11435253205100478
15,1.5,50,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.22870506410200955
15,1.5,75,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.34305759615301434
15,1.5,100,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.4574101282040191
15,1.5,125,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.5717626602550239
15,1.5,150,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.6861151923060287
15,1.5,175,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.8004677243570336
15,1.5,200,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.9148202564080382
15,1.5,225,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.0291727884590431
15,1.5,250,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.1435253205100477
15,1.5,275,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.2578778525610528
15,1.5,300,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.3722303846120574
15,1.5,325,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.4865829166630622
15,1.5,350,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.6009354487140672
15,1.5,375,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.7152879807650716
15,1.5,400,#12,#12,1,120.0,10,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.8296405128160764
15,3.0,1,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.009148202564080382
15,3.0,25,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.22870506410200955
15,3.0,50,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.4574101282040191
15,3.0,75,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.6861151923060287
15,3.0,100,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.9148202564080382
15,3.0,125,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.1435253205100477
15,3.0,150,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.3722303846120574
15,3.0,175,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.6009354487140672
15,3.0,200,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.8296405128160764
15,3.0,225,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.0583455769180863
15,3.0,250,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.2870506410200955
15,3.0,275,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.5157557051221056
15,3.0,300,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.7444607692241147
15,3.0,325,#12,#12,1,120.0,20,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.9731658333261244
15,3.0,350,#10,#10,1,120.0,20,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,1.938056860852536
15,3.0,375,#10,#10,1,120.0,20,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.0764894937705742
15,3.0,400,#10,#10,1,120.0,20,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.2149221266886125
15,4.5,1,#12,#12,1,120.0,30,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.013722303846120575
15,4.5,25,#12,#12,1,120.0,30,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.3430575961530144
15,4.5,50,#12,#12,1,120.0,30,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.6861151923060288
15,4.5,75,#12,#12,1,120.0,30,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.0291727884590434
15,4.5,100,#12,#12,1,120.0,30,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.3722303846120576
15,4.5,125,#12,#12,1,120.0,30,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.715287980765072
15,4.5,150,#12,#12,1,120.0,30,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.0583455769180867
15,4.5,175,#12,#12,1,120.0,30,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.4014031730711007
15,4.5,200,#12,#12,1,120.0,30,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.744460769224115
15,4.5,225,#10,#10,1,120.0,30,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,1.8688405443935168
15,4.5,250,#10,#10,1,120.0,30,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.0764894937705742
15,4.5,275,#10,#10,1,120.0,30,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.2841384431476315
15,4.5,300,#10,#10,1,120.0,30,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.491787392524689
15,4.5,325,#10,#10,1,120.0,30,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.699436341901747
15,4.5,350,#10,#10,1,120.0,30,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.907085291278804
15,4.5,375,#8,#8,1,120.0,30,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.0540611213116033
15,4.5,400,#8,#8,1,120.0,30,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.1909985293990433
15,6.0,1,#12,#12,1,120.0,40,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.018296405128160765
15,6.0,25,#12,#12,1,120.0,40,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.4574101282040191
15,6.0,50,#12,#12,1,120.0,40,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.9148202564080382
15,6.0,75,#12,#12,1,120.0,40,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.3722303846120574
15,6.0,100,#12,#12,1,120.0,40,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.8296405128160764
15,6.0,125,#12,#12,1,120.0,40,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.2870506410200955
15,6.0,150,#12,#12,1,120.0,40,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.7444607692241147
15,6.0,175,#10,#10,1,120.0,40,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,1.938056860852536
15,6.0,200,#10,#10,1,120.0,40,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.2149221266886125
15,6.0,225,#10,#10,1,120.0,40,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.491787392524689
15,6.0,250,#10,#10,1,120.0,40,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.7686526583607654
15,6.0,275,#8,#8,1,120.0,40,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.0084153186157896
15,6.0,300,#8,#8,1,120.0,40,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.190998529399043
15,6.0,325,#8,#8,1,120.0,40,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.3735817401822965
15,6.0,350,#8,#8,1,120.0,40,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.5561649509655506
15,6.0,375,#8,#8,1,120.0,40,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.7387481617488043
15,6.0,400,#8,#8,1,120.0,40,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.921331372532058
15,7.5,1,#12,#12,1,120.0,50,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.02287050641020096
15,7.5,25,#12,#12,1,120.0,50,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.5717626602550239
15,7.5,50,#12,#12,1,120.0,50,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.1435253205100477
15,7.5,75,#12,#12,1,120.0,50,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.715287980765072
15,7.5,100,#12,#12,1,120.0,50,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.2870506410200955
15,7.5,125,#12,#12,1,120.0,50,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.8588133012751196
15,7.5,150,#10,#10,1,120.0,50,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.0764894937705742
15,7.5,175,#10,#10,1,120.0,50,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.4225710760656702
15,7.5,200,#10,#10,1,120.0,50,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.7686526583607654
15,7.5,225,#8,#8,1,120.0,50,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.0540611213116033
15,7.5,250,#8,#8,1,120.0,50,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.2822901347906703
15,7.5,275,#8,#8,1,120.0,50,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.510519148269737
15,7.5,300,#8,#8,1,120.0,50,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.7387481617488043
15,7.5,325,#8,#8,1,120.0,50,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.966977175227871
15,7.5,350,#6,#6,1,120.0,50,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.051424170419139
15,7.5,375,#6,#6,1,120.0,50,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.19795446830622
15,7.5,400,#6,#6,1,120.0,50,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.3444847661933013
